"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 09:09:12 CST 2019","Wed Aug 28 09:09:12 CST 2019","2","","allure美化","","","","test_10",""
"passed","Wed Aug 28 09:09:12 CST 2019","Wed Aug 28 09:09:12 CST 2019","9","","allure美化","","","","test_100",""
